name,protein
100% Bran,4
100% Natural Bran,3
All-Bran,4
All-Bran with Extra Fiber,4
Almond Delight,2
Apple Cinnamon Cheerios,2
Apple Jacks,2
Basic 4,3
Bran Chex,2
Bran Flakes,3
Cap'n'Crunch,1
Cheerios,6
Cinnamon Toast Crunch,1
Clusters,3
Cocoa Puffs,1
Corn Chex,2
Corn Flakes,2
Corn Pops,1
Count Chocula,1
Cracklin' Oat Bran,3
Cream of Wheat (Quick),3
Crispix,2
Crispy Wheat & Raisins,2
Double Chex,2
Froot Loops,2
Frosted Flakes,1
Frosted Mini-Wheats,3
Fruit & Fibre Dates; Walnuts; and Oats,3
Fruitful Bran,3
Fruity Pebbles,1
Golden Crisp,2
Golden Grahams,1
Grape Nuts Flakes,3
Grape-Nuts,3
Great Grains Pecan,3
Honey Graham Ohs,1
Honey Nut Cheerios,3
Honey-comb,1
Just Right Crunchy  Nuggets,2
Just Right Fruit & Nut,3
Kix,2
Life,4
Lucky Charms,2
Maypo,4
Muesli Raisins; Dates; & Almonds,4
Muesli Raisins; Peaches; & Pecans,4
Mueslix Crispy Blend,3
Multi-Grain Cheerios,2
Nut&Honey Crunch,2
Nutri-Grain Almond-Raisin,3
Nutri-grain Wheat,3
Oatmeal Raisin Crisp,3
Post Nat. Raisin Bran,3
Product 19,3
Puffed Rice,1
Puffed Wheat,2
Quaker Oat Squares,4
Quaker Oatmeal,5
Raisin Bran,3
Raisin Nut Bran,3
Raisin Squares,2
Rice Chex,1
Rice Krispies,2
Shredded Wheat,2
Shredded Wheat 'n'Bran,3
Shredded Wheat spoon size,3
Smacks,2
Special K,6
Strawberry Fruit Wheats,2
Total Corn Flakes,2
Total Raisin Bran,3
Total Whole Grain,3
Triples,2
Trix,1
Wheat Chex,3
Wheaties,3
Wheaties Honey Gold,2
